table_name	column_name	comment
erreurs	tb_err	Numeric. Calculated measurement error linked to the measurement of Terbium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	th_err	Numeric. Calculated measurement error linked to the measurement of Thorium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	ti_err	Numeric. Calculated measurement error linked to the measurement of Titanium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	tm_err	Numeric. Calculated measurement error linked to the measurement of Thulium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	u_err	Numeric. Calculated measurement error linked to the measurement of Uranium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	v_err	Numeric. Calculated measurement error linked to the measurement of Vanadium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	w_err	Numeric. Calculated measurement error linked to the measurement of Tungsten for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	y_err	Numeric. Calculated measurement error linked to the measurement of Yttrium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	yb_err	Numeric. Calculated measurement error linked to the measurement of Ytterbium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	zn_err	Numeric. Calculated measurement error linked to the measurement of Zinc for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	zr_err	Numeric. Calculated measurement error linked to the measurement of Zirconium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
gadm	uid	Numeric. Unique identifier of the lowest administrative category 'localite' in the 'gadm' table, used as primary key in 'gadm' table
gadm	pays	String. Name of the country
gadm	subdiv1	String. Name of an administrative entity of rank 1 in a country
gadm	subdiv1_type	String. Type of administrative entity of rank 1 (province, region, etc)
gadm	subdiv2	String. Name of an administrative entity of rank 2 in a country
gadm	subdiv2_type	String. Type of administrative entity of rank 2 (county, department, etc)
gadm	subdiv3	String. Name of an administrative entity of rank 3 in a country
gadm	subdiv3_type	String. Type of administrative entity of rank 3 (district, etc)
gadm	subdiv4	String. Name of an administrative entity of rank 4 in a country
gadm	subdiv4_type	String. Type of administrative entity of rank 3 (village, town, etc)
gadm	localite	String. Name of the administrative entity of lowest rank of the selection
gadm	localite_type	String. Type of the administrative entity of lowest rank of the selection
incertitudes	id_incertitude	Numeric. Unique identifier of the uncertainty value in the 'incertitudes' table, used as foreign key in 'incertitudes' table
incertitudes	id_machine	Numeric. Unique identifier of the analytical device in the 'machines' table, used as foreign key in 'incertitudes' table
incertitudes	id_element	Numeric. Atomic number of a given chemical elements corresponding to the number of protons in the nucleus, used as foreign key in 'incertitudes' table
incertitudes	int_min	Numeric. Lower value of the amount range to which the uncertainty value expressed in the 'val_incertitude' field is related
incertitudes	int_max	Numeric. Higher value of the amount range to which the uncertainty value expressed in the 'val_incertitude' field is related
incertitudes	val_incertitude	Numeric. Value expressing the uncertainty of the measurement of a given element with a given analytical device and within a given amount range
limitesdetection	id_ldd	Numeric. Unique identifier of the detection limit in the 'limitesdetection' table, used as primary key in 'limitesdetection' table
limitesdetection	id_machine	Numeric. Unique identifier of the analytical device in the 'machines' table, used as foreign key in 'limitesdetection' table
limitesdetection	id_element	Numeric. Atomic number of a given chemical elements corresponding to the number of protons in the nucleus, used as foreign key in 'limitesdetection' table
limitesdetection	val_ldd	Numeric. Value of the limit of detection, expressed either as %wt or �g.g-1
literature	id_lit	Numeric. Unique identifier of the bibliographic reference in the 'literature' table, used as primary key in 'literature' table
literature	authors	String. List of the names of the authors
literature	title	String. Title of the publication
literature	journal_book	String. Name of the journal in which the reference has been published
literature	volume	Numeric. Volume number of the journal
literature	issue	Numeric. Issue number of the journal
literature	pub_year	Numeric. Year of publication of the reference
literature	pages	String. Page numbers of the publication
literature	url	String. URL to the web page linked to the publication
literature	doi	String. Digital object identifier given to the publication
literature	pub_type	String. Type of publication (e.g. article, book, etc)
machines	id_dispositif	Numeric. Unique identifier of the analytical device in the 'machines' table, used as primary key in 'machines' table
machines	laboratoire	String. Name of the laboratory operating the analytical device
machines	methode_analyse	String. Name of the analysis method (e.g. X-Ray spectroscopy, mass spectrometry)
machines	marque	String. Manufacturer of the analytical device
machines	modele	String. Model of the analytical device
personnes	id_personne	Numeric. Unique identifier of the persons in the 'personnes' table, used as primary key in 'personnes' table
personnes	prenom	String. First name of the person
personnes	nom	String. Last name of the person
personnes	organisme	String. Organisation to which the person is affiliated
personnes	courriel	String. Email of the person
sites	id_site	Numeric. Unique identifier of the contexts in the 'context' table, used as primary key in 'context' table
sites	id_localite	Numeric. Unique identifier 'uuid' of the corresponding administrative entity in the 'gadm' table, used as foreing key in 'context' table
sites	nom_site	String. Name given to the context (e.g. site name, phase name, stratigraphic unit number, etc)
sites	centroid	Boolean. Boolean indicating whether the spatial coordinates correspond to the centroid of the administrative entity or not
sites	srid	Numeric. Unique identifier of the spatial referencing system (here table 'spatial_ref_sys') in which the coordinates given in the 'latitude' and 'longitude' fields are projected, as defined by the EPSG following the recommandations of the ISO 6709:2008 standard
sites	longitude	Numeric. Easting coordinates expressed either as decimal coordinates or as plane coordinates
sites	latitude	Numeric. Northing coordinates expressed either as decimal coordinates or as plane coordinates
sites	date_debut	Numeric. Terminus post quem of the context, following the Gregorian calendar
sites	date_fin	Numeric. Terminus ante quem of the context, following the Gregorian calendar
sites	doute_date	Boolean. Boolean indicating whether the dating is dubious or not
sites	points	Geometry. Field of 'geometry' type, according to the Simple Features for SQL specification related to the ISO/IEC 9075-3:2003 standard
sites	key_periodo	String. Unique identifier of a period in the PeriodO gazetteer, used as a foreign key in the 'context' table
sites	key_periodo2	String. Unique identifier of an alternate period in the PeriodO gazetteer, used as a foreign key in the 'context' table
sites	edtf	String. The data in the 'date_debut' and 'date_fin' fields is encoded as a date/time string format, as defined in the ISO 8601 standard
sites	nom_place	String. Name given to the place in which the archaeological context is located
spatial_ref_sys	srid	Numeric. Unique identifier of the  table 'spatial_ref_sys', used as primary key
