table	column	comment
contexts	start_date	Numeric. Terminus post quem of the context, following the Gregorian calendar
contexts	end_date	Numeric. Terminus ante quem of the context, following the Gregorian calendar
contexts	date_uncertain	Boolean. Boolean indicating whether the dating is dubious or not
contexts	points	Geometry. Field of 'geometry' type, according to the Simple Features for SQL specification related to the ISO/IEC 9075-3:2003 standard
contexts	key_periodo	String. Unique identifier of a period in the PeriodO gazetteer, used as a foreign key in the 'context' table
contexts	key_periodo2	String. Unique identifier of an alternate period in the PeriodO gazetteer, used as a foreign key in the 'context' table
contexts	edtf	String. The data in the 'start_date' and 'end_date' fields is encoded as a date/time string format, as defined in the ISO 8601 standard
contexts	site_name	String. Name given to the place in which the archaeological context is located
spatial_ref_sys	srid	Numeric. Unique identifier of the  table 'spatial_ref_sys', used as primary key
spatial_ref_sys	auth_name	String. Name given to the referencing system, usually by an administrative authority
spatial_ref_sys	auth_srid	Numeric. Unique code given by the European Petroleum Survey Group to the spatial referencing system
spatial_ref_sys	srtext	String. Large text-type field listing metadata such as the ellipsoid, the datum and the author(s) of the system
spatial_ref_sys	proj4text	String. Defines the geometrical transformations on which the projection relies
typology	id_typo	Numeric. Unique identifier of the contexts in the 'typology' table, used as primary key in 'typology' table
typology	filiere	String. Defines (in french) the metallurgical process (e.g. bloomery of finery process for iron metallurgy) to which the sample is related
typology	contexte	String. Defines (in french) the context (e.g. geological, archaeological, experimental) in which the sample has been taken
typology	materiau	String. Defines (in french) the material type (e.g. ore, slag, etc) of which the sample is made
typology	categorie	String. Defines (in french) the typological category of the sample, either as a complement to the material definition or a mention to the chaine operatoire
typology	sous_categorie	String. Defines (in french) the typological sub-category of the sample, to precise the 'categorie' field (e.g. running slag, hearth bottom)
typology	filiere_en	String. Defines (in english) the metallurgical process (e.g. bloomery of finery process for iron metallurgy) to which the sample is related
typology	contexte_en	String. Defines (in english) the context (e.g. geological, archaeological, experimental) in which the sample has been taken
typology	materiau_en	String. Defines (in english) the material type (e.g. ore, slag, etc) of which the sample is made
typology	categorie_en	String. Defines (in english) the typological category of the sample, either as a complement to the material definition or a mention to the chaine operatoire
typology	sous_categorie_en	String. Defines (in english) the typological sub-category of the sample, to precise the 'categorie' field (e.g. running slag, hearth bottom)
typology	ark_frantic	String. URL of type Archival Resource Key to a concept in the Pactols thesaurus created by Frantiq research cluster, the concept being aligned on other databases (e.g. getty, wikidata)
